Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Equatorial Guinea,,,,,,,0.003896134539040979,0.014456475173670902,,,,,,,,,,,,0.07627768589681228,0.07451529843747336,0.062110612833861475,,,,,0.024247742786635176,0.025051996222944992,0.04455638959791484,0.056251054971023465,0.059012003693444136,0.07786350307538263,0.101501321436602,0.10484769817349265,0.07746100650353693,0.07532943851884748
Eritrea,,,,,,0.41003802281368823,0.32617100371747215,0.31093623890234057,0.3829509493670886,0.254801124949779,0.47724919891545475,0.41884767463754474,0.4979143305673918,0.4805102040816327,0.44471682163989856,0.4636614535418584,,,,,,,,,,,,,,,,,,,,
Ethiopia,0.260116492949111,0.28223133286810886,0.30771634160196937,0.2258403794596824,0.17017835909631393,0.15697451619084113,0.11454750493374682,0.09008002866698518,0.0787914459485972,0.15098332834181893,0.2880473163841808,0.36165394072731977,0.29530377094972066,0.1923351969834872,0.1484201690748846,0.11977110300364835,0.13273374184621467,0.12064545010581149,0.10271211914195928,0.09079661445884767,0.07943088564425024,0.0692352961539793,0.0613303427490012,0.05983661557796973,0.052159270839194,0.0454170429223863,0.04395003019323672,0.04071486697408852,0.03816043831636959,0.03754497084857641,0.04011659914456318,0.03777489984386536,0.036054792388216524,0.03565651152657649,0.06850633610859196,0.07537117491287318
Gabon,,,,,,,,,,,,,0.08334636956036713,0.06445375443119562,0.0693237988601487,0.0785105428443248,0.07728101763082822,0.060126429571008055,0.06068761473612917,,,,0.08105524057755666,0.06625243497495077,0.06763386265562933,0.046260038494723564,0.04819175541630371,0.05325159858373408,0.06625616848783927,0.10000063682504506,0.09069553863166377,0.09086366383117185,0.08682158113540318,0.09285875536157724,0.0813010840019342,0.07273602212241431
"Gambia, The",,,,,,,,,,,,,0.03452477660438667,0.025295663600525625,0.02964426877470356,0.02548055431381314,0.016223776223776222,0.022435560231457128,0.018852459016393444,0.03174291327532978,0.09512987012987015,0.03408763072484674,,,0.04129983867250518,0.043921384017888664,0.0625564681724846,0.05153021187549046,,,0.032992657154796726,0.033589504454342986,0.03246168590535418,0.03634863975817923,0.030966438507396776,0.026410652867722244
Ghana,0.023015,0.022614814814814813,0.026488235294117646,0.03310869565217391,0.025635211267605637,0.02333333333333333,0.022176073619631902,0.0241077868852459,0.021492307692307693,0.022337649880095924,0.02629940594059406,0.0278274647887324,0.034400620347394543,0.017894980694980696,0.022783825816485227,0.023367088607594937,0.01884386617100372,0.018883479389808507,0.017044523575638508,0.020589139165357078,0.01663369760686125,0.01926343775286094,0.014219698198929091,0.022286612984398588,0.02699260183617078,0.018562642029579406,0.02313195070634205,0.02109775008045876,0.014650655921609928,0.017784975977145824,0.01559573511166253,0.015287184027734478,0.011137396359632077,0.014065236078830909,0.012490530153903927,0.019150304983312234
Guinea,,,,0.10500592963244043,0.08783118216922024,0.07246176779108929,0.07717099404164132,,,0.06690703638999368,0.0849646184142887,0.09901630020294463,0.08992161254199328,0.15361410628192812,0.1674515055946775,0.11968752239661722,0.12416760577809649,,,,,,,,0.11409619856606218,0.12605953614986215,0.11102225829914286,0.11601511122373054,0.11663241976094695,0.10174823134037213,0.10416253207470517,0.09835496430889033,0.08632945190111055,0.09958547945024099,0.15797694681872926,0.1381700648337288
Guinea-Bissau,,,,,,,0.010826025765941324,0.019651073619631903,0.022940563086548488,0.020443159922928708,0.05628289473684211,,0.10383444265932215,0.0786319003504389,0.0974511096462316,0.07977176715861085,,0.09394661021932145,,,,0.07522893242146748,0.0983298756389008,0.08756951432657169,0.17987829439521233,0.15762634649580437,0.08248636300060609,0.068780630981147,0.06163821578627487,0.0722637371169038,0.0700714340944643,0.08078847222816095,0.06347447647563581,0.05966820017765263,0.06766292333539659,0.06407470983531928
Kenya,0.1001394104287995,0.08979132061782844,0.08862438013935095,0.0762387533757925,0.05885520939435449,0.053308871479623335,0.049752617563396474,0.054098672931614696,0.062131402295336716,0.05755246937660919,0.05433006578706345,0.059713054510700365,0.06453205498795156,0.06994299202982095,0.07181656163927996,0.07179681372925925,0.07379583988060642,0.0741092217378381,0.07317586946306369,0.07455308669614373,0.07468208114004066,0.06733091605582225,0.06359202632088252,0.06858141834283067,0.06740804024870663,0.060067269116991534,0.0512034357468412,0.05049655248093349,0.0492144107821081,0.049171498421678735,0.04937759971977757,0.04559727782225781,0.04469858342867466,0.04485457799750043,0.04430270228074056,0.04114340089842671
Lesotho,0.08923611111111111,0.11295238095238094,0.10873913043478263,0.09305135951661632,0.07732102908277404,0.06936720997123683,0.06881559220389805,0.07777604491578291,0.06870067643742954,0.06139740018570102,0.05602223032069971,0.07081632653061225,0.0844484269215452,0.06587340529931306,0.06009180996793938,0.05778894472361809,0.05594646799116997,0.05134486071085495,0.04558964067278288,0.046519144704127297,0.028550669699267124,0.039893722685736994,0.05517544795221844,0.03668997567755385,0.03584549778579629,0.03339164622709566,0.03770945650590121,0.035758084537526255,0.03639927596686729,0.043913987290001885,0.03831067686207873,0.03523524612455806,0.03412066097966629,0.02894917764027712,0.027628719440927246,0.027290077375762858
Liberia,,,,,,,,,,,,,,,,,0.041513761467889904,0.05344628099173554,0.031711382113821136,0.012422413793103448,0.013522099447513813,0.01608472553699284,0.018108870967741938,0.017813210227272728,0.01846593673965937,0.01809760479041916,0.014053191489361702,0.0128911149825784,0.01263917525773196,0.011446781115879828,0.012409943714821764,0.012965829145728644,0.012034514925373134,0.02844306220095694,0.03436915887850467,0.03505
Madagascar,0.09026220879227995,0.061554081924040986,0.07232834773734732,0.07908867988949932,0.038417960647518276,0.054523204367881016,0.04690007678085857,0.04882508067301941,0.06964000832350697,0.08528125278957369,0.06767826566123145,0.06801936268501027,0.06645312922481748,0.0781128945521497,0.08671644710956167,0.068702757291061,0.049560382851523324,0.0502325926888829,0.04563053097345133,0.059750862951273895,0.0612871177067267,0.05901086198983495,0.046432460491856384,0.051755500805861845,0.05147431648432748,0.04554833559694828,0.044317197093211615,0.03994648538861636,0.03701487970311207,0.0338782788414991,0.037077498261247226,0.03550056825501703,0.04115875491482617,0.04952727586829686,0.037694681450645355,0.0345481167276877
Malawi,,,,,,,,,,,,,,,0.021744019138755982,0.018859739723197686,0.026135208959300733,0.04257736420688163,0.030975768763093513,0.0259756400695998,0.028752703511113156,0.03342925495281784,0.026021652494586014,0.027567085272093526,0.028974368989778843,0.039098519983631154,0.031780663320170176,0.023094864888229646,0.022892935000729715,0.025252014864411476,0.03041597738195405,0.03938922727100943,0.03670537519027774,0.030878183066594327,0.03497985376502626,0.0395813642251071
Mali,,,,,,,,,,,,,0.07625128107055817,0.07061101059594405,0.06363547233614329,0.0681910051143254,0.06535268880775284,0.06398599043577828,0.06304140891269895,0.06305500923773764,0.07727228822563507,0.062124814399839676,0.06784247853676745,0.06035626077081298,0.07703293462032393,0.05880714352038132,0.07595185440818109,0.1127179815936928,0.11618669261121022,0.1321340029241625,0.13904255429645712,0.11891116989504223,0.1301778483736911,0.1256876880837756,0.12382092688484551,0.14183349264059983
