Country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009023576,0.007938283,0.006391086,,,,,,,,,0.023805543,0.016946406,0.013407094,0.013561169,,,0.011728193,0.012549918,0.015951311,0.015346375,0.031002105,0.033246802,0.024411814,0.022285644,,,,,,,,0.022450874,0.023861843,0.022764379,0.025622003,0.019217111,0.017963006,0.017714006,0.014830114,0.014768871,0.015321322,0.02168447,0.021257505
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69E-05,0.000134783,0.00015024,0.000109031,0.000243964,0.00058087,,0.00181085,,,,,0.00317965,0.004955681,0.005665931,0.006505212,0.014047619,,0.026280304,0.016267268,0.015586029,0.015754231,,0.018945993,,,,0.015502577,0.018238796,0.015161305,0.023337219,0.019570424,0.018938044,0.014790042,0.012645459,0.013085655,0.013647337,0.015321151,0.016253776,0.016874315,0.016219058,0.014554528
Kenya,,,,,,,,,,,,,0.003273178,0.001129944,0.000773196,0.002064897,0.005898876,0.009903348,0.011332685,0.013049937,0.012183429,0.010800691,0.010574833,0.012277151,0.015418118,0.01659278,0.017770026,0.018789026,0.02484743,0.037401755,0.051992922,0.055016058,0.045153198,0.042253248,0.045727832,0.041952339,0.034769125,0.023757575,0.025035753,0.031337435,0.029455534,0.027408517,0.02888215,0.023542581,0.019007468,0.018377416,0.016412528,0.016467162,0.014179547,0.013406386,0.012201225,0.011869741,0.01313742,0.015047549,0.016324078,0.016500998,0.016141942,0.01690587,0.014551774,0.015479123,0.016158503,0.013650757,0.013699853,0.01379743,0.014895773,0.013953965,0.011994334,0.012031694,0.012473098,0.01237594,0.012073854,0.011125712,0.011084342,0.010772003,0.010102052,0.009058168
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015517913,0.014381321,0.015056083,0.018512075,0.031585366,0.033115104,0.043577367,0.040130568,0.039791438,0.043140991,0.048399873,0.041813131,0.033697552,0.043077147,0.03550476,0.02888847,0.027064535,0.024754727,0.027411224,0.032418894,0.028246737,0.027121773,0.028519285,0.035624512,0.032849261,0.02744178,0.02516393,0.023690009,0.021316629,0.020492596,0.02074225,0.023681546,0.015479208,0.027226817,0.031625287,0.02255523,0.021482398,0.020265319,0.019537961,0.01865753,0.019638884,0.022708145,0.019993829,0.018754042,0.018817992,0.015389791,0.015164389,0.015362629
Liberia,,,,,,,,,,,,,,,,,,0.011774967,0.011451943,0.011685824,0.011018786,0.009934853,0.01098731,0.011859444,0.011002445,0.009689922,0.009342916,0.00952381,0.010725658,0.011515602,0.01240937,0.011546493,0.014917515,0.031128175,0.050179419,0.047060967,0.029404832,0.029543052,0.028953627,0.022872122,0.02407782,,,0.07183908,0.101342282,0.189837905,0.297276853,,,,,,,,,,0.006343517,0.008564421,0.00476174,0.003110752,0.004979522,0.006517498,0.008167389,0.01058785,0.011820274,0.010812368,0.010325292,0.010514981,0.010626383,0.009400093,0.00938216,0.009403053,0.00973406,0.020126938,0.02488535,0.022983872
Madagascar,,,,,,,,,,,,,,0.015021521,0.015373134,0.014603699,0.0145875,0.015908544,0.015422749,0.015500259,0.015462185,0.015072464,0.01351243,0.013165736,0.014881933,0.015238575,0.016706892,0.016371457,0.018802096,0.023071993,0.02419852,0.029272391,0.027689185,0.029784537,,,0.018731563,0.017800549,0.015519354,0.014290401,0.013471834,0.012108653,0.01231511,0.012963491,0.007699219,0.01122324,0.009264735,0.00859888,0.012376344,0.014819124,0.013489275,0.012102292,0.012175139,0.014358476,0.013131616,0.013247573,0.012482267,0.010719415,0.009774312,0.009611815,0.009628921,0.00738133,0.005702147,0.00623191,0.00592765,0.005785599,0.005563913,0.005204692,0.00501387,0.005062223,0.005321022,0.00545343,0.006731539,0.006921322,0.006659162,0.006629611
Malawi,,,,,,,,,,,,,,,,,,0.007019978,0.006457926,0.007169374,0.006954303,0.006679624,0.006411456,0.005815169,0.006021999,0.010604396,0.009669556,0.015268076,0.01373366,0.016899038,0.026945173,0.040659341,0.042931052,0.031111813,0.022869649,0.018164103,0.01559535,0.017511183,0.020954678,0.018288064,0.015113081,0.014970709,0.013086057,0.010757301,0.01402486,0.012629754,0.014218801,0.007905592,0.008834681,0.009915561,0.008136398,0.008110145,0.006726388,0.00738822,0.004238229,0.004087925,0.006318681,0.010452616,0.007776515,0.00757952,0.00835637,0.009497046,0.00718201,0.006597285,0.007656307,0.0080979,0.005807719,0.004508257,0.004520473,0.005301005,0.005895015,0.007607818,0.008342812,0.007591311,0.009697016,0.010108779
Mali,,,,,,,,,,,,,,0.027022472,0.028913043,0.026469136,0.028687783,0.025199115,0.024080338,0.024038462,0.019908116,0.021755162,0.022280472,0.019161677,0.023755656,0.026558089,0.028659161,0.031660232,0.029115342,0.031295844,0.032139578,0.029661017,0.020792956,0.01960762,0.02106795,0.019836601,0.019726074,0.021424163,0.020267689,0.021167861,0.022134681,0.021120113,0.019564942,,,0.015637935,0.014380263,0.014970171,0.014284106,0.014968522,0.014046323,0.014922899,0.014786497,0.012951722,0.012688504,0.014193331,0.014219988,0.01384312,0.013914154,0.01355034,0.014657149,0.014186643,0.013745668,0.012410333,0.011964057,0.011613791,0.015159338,0.023601745,0.025861309,0.030286011,0.028235955,0.027527166,0.033995582,0.034086796,0.031396604,0.038276855
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059458952,0.050367629,0.04669587,0.044897506,0.039611369,0.038279265,0.036005124,0.026890664,0.02412423,0.022408619,0.022601546,0.026263412,0.029672601,0.01862441,0.022736379,0.029280054,0.040023844,0.027393835,0.039952757,0.038381201,0.030515558,0.026936472,,0.03059334,0.031353242,,,0.021149747,0.019965973,0.021970952,0.021555724,0.021454878,0.021210985,0.021312823,0.01996333,0.023892692,0.022939949,0.022790523,0.025486318
Mauritius,,,,,,,,,,,,,,,,0.001414538,0.001708428,0.001632321,0.001655702,0.001558308,0.001557971,0.001805019,0.002194656,0.002239449,0.00202514,0.001889849,0.001399254,0.001917447,0.001870748,0.001727306,0.001725791,0.002048429,0.004892492,0.00466745,0.002622601,0.002691374,0.002520891,0.002196414,0.001979695,0.001940385,0.002196423,0.002900162,0.003460953,0.003674218,0.003544241,0.003302542,0.003331456,0.003328256,0.002933902,0.002340789,0.002028148,0.002081353,0.002007188,0.001945804,0.0019627,0.001871028,0.001662168,0.001606741,0.001538565,0.00142725,0.001559521,0.001677772,0.001486896,0.001520353,0.001427944,0.001887332,0.001510175,0.001423019,0.001747018,0.001653763,0.001563853,0.001487967,0.001616154,0.001713771,0.001388004,0.001527768
