Country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mali,,,,,,,,,,,,,,,,,,28.11648213,25.68031635,26.18476225,27.23215274,30.89801946,35.24683377,27.42074632,33.50000134,32.94241031,33.76587437,46.72144288,55.01280838,54.17049854,44.39699045,51.01557473,43.85806339,41.31165661,44.86756911,42.69739373,41.96799844,46.44783286,45.69509879,54.95817279,54.23700096,55.79694756,53.57423994,,,49.93782042,53.41191277,57.29393563,53.90882544,62.63413013,61.99725305,70.01196533,81.19363002,81.65736266,81.2892013,92.93828145,101.1023994,105.9424496,114.8567823,119.3491263,132.2623713,137.5531218,145.0210303,147.2515952,139.8093632,140.6628156,197.8463877,330.67819,395.847362,489.0057301,483.0598985,511.3356209,624.2743198,636.4764973,582.0175525,727.3698364
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2511013,59.67329527,56.43316136,55.78436332,49.30452404,46.39504938,43.82783652,42.1930117,41.00965555,39.39459678,42.11945889,50.39422074,58.52411867,41.39522314,55.17538757,72.22230717,101.0169016,72.31852883,114.585959,117.866437,99.77602376,116.7302246,0,135.3788829,135.8188196,0,0,161.4928194,159.3291914,155.611354,148.3381723,163.8541884,171.0207482,182.6401725,185.6150122,229.1731019,245.0190962,225.3521355,253.3609464
Mauritius,,,,,,,,,,,,,,,,1.716346609,1.75460245,1.729569151,1.692908896,1.661692868,1.5481725,1.880115497,2.277328021,2.566252701,2.715815025,2.889100642,2.876922978,3.64961516,4.340919575,4.247304997,4.495718773,5.69131232,10.8970906,10.66137991,6.175186,6.532959036,6.411083145,6.058386383,6.369354117,7.636269989,9.376992021,12.74798391,15.88902018,17.87366954,18.48918969,17.89131343,18.660045,19.32659714,18.06465651,14.98843673,13.79474105,14.48037052,14.99536524,15.14352164,15.49252198,15.90026631,15.03747243,15.30214714,15.00368144,14.64509133,16.24261086,17.49519411,15.89954769,16.3863298,15.71574098,21.59226646,17.75616966,17.36825506,22.45488068,21.66058757,20.98567691,20.36634171,18.88991381,20.53777375,17.88459597,21.36969216
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0415739,132.3526831,125.03974,116.9958742,111.8607831,94.11734855,72.34971357,96.45129633,88.56434435,111.1088049,100.8613043,99.42698589,99.52644003,107.3187388,125.8127639,55.91601089,50.74891116,56.32876621,66.94809712,80.31817,83.2022681,94.84169106,98.19346308,97.10161503,106.314321,81.80135443,73.41658662,82.49923837,85.77882875,94.74224869,122.0658699,113.4662828,126.948176,146.7161594,164.3909157,157.939363,172.9393746,174.706606,240.0274329,258.3071556,370.1733708,352.6351061,281.8674604,350.3771645
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.6149242,218.2498018,159.5635862,94.18499368,74.15240997,81.66139358,86.73125613,106.6816249,113.2335878,153.337346,138.0611441,162.7323798,160.7513524,158.4157103,167.5799086,185.5144964,195.5389682,218.3232224,273.8161767,288.6650895,314.8476675,332.6640862,327.4731676,345.0408592,507.3884795,556.2641038,493.6772723,448.8087801,429.7026584,410.2230345,407.3089289,383.3561663,367.5974307,359.5274837
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33448032,14.4404645,16.21102269,18.1488403,18.87294632,16.56224452,14.22332919,14.08121535,16.18736609,14.7411823,15.65035927,16.51308109,14.56243789,,,,,,,30.57538444,26.22870835,24.09886952,26.56877295,32.70978438,37.34368867,35.79062169,43.79738964,33.76523689,34.08096174,39.69662243,38.14824019,,,47.53395015,49.24594665,64.67095829,75.11618336,143.4658015,96.69459634,134.0862019,,181.673162,210.7355724,222.2076075,259.0956363,237.9415309,187.606648,242.5070463,308.7318104
Nigeria,,,,,,,,,,,,,252.2280043,287.0652046,372.6076362,450.9094626,533.7430538,622.3805764,479.456783,2144.715385,3314.189379,5580.117868,4746.771325,3941.571409,4972.778351,5323.880951,5994.96867,9795.591731,7005.067804,7431.914241,5795.424757,5011.219481,4070.131572,2682.436461,2100.608362,1806.622288,1207.287077,1181.240464,1038.570103,833.4967496,819.1518167,556.4454557,918.9025923,880.9907336,757.9126812,1024.516025,718.8750112,828.0751105,702.3572383,755.5068187,964.4221043,1632.096367,1260.353721,1795.037834,2709.605571,1667.930005,1624.913513,1434.711753,1495.433745,1736.774642,2439.40841,2535.162569,2976.510983,3313.652027,2919.086166,2805.97475,2551.358325,2488.768491,2403.300446,2298.57098,2711.757497,2487.648898,3202.421874,5008.224588,3109.384939,3731.181134
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,53.51178957,37.6012164,34.29761781,37.17700256,50.4570843,37.23221533,42.5333267,47.23112505,54.72260004,50.98653308,49.12809535,44.18337251,46.94141528,52.5819499,47.38858142,44.92673768,52.99176158,121.4087217,168.0175289,137.9902366,133.5529288,45.67077605,77.02193697,109.4991876,100.7814396,110.7714543,112.6676658,95.98864288,97.93592638,92.5932158,86.17354509,75.18921409,72.73939411,80.11301325,74.17578495,78.20611151,80.05865448,81.51751924,82.36099041,80.90115632,83.1045547,94.39442523,110.8630455,117.6710571,122.9424844,131.5435489,138.4280722,159.8908051,187.8088935,176.4316646,170.961581
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.4565268,133.9765095,146.4055921,126.9199592,127.4340177,120.5748595,109.421443,104.5098157,110.5490578,117.6519305,118.6743254,119.8235107,117.6045627,110.2229625,129.593713,105.92863,108.0035308,106.2015298,105.6888682,112.0045385,120.8651257,110.5273,122.0810549,122.4322307,133.0464238,133.6018474,151.6977495,175.8610117,197.6376284,193.4930542,206.7508112,195.1907453,211.5041773,192.7680998,222.9735798,228.6097309,244.5718232,345.0683973,337.899945,401.3992196,385.328204,357.4794067,471.4053216,421.0137438,411.6417474
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91285921,20.84329358,21.36067704,21.63658495,23.97066193,24.82895114,26.92735613,31.26095258,19.70460387,17.34774295,15.97224532,15.33073453,16.65903253,15.72529719,15.79267095,14.79836023,15.34130922,15.14911516,15.11858855,19.2919821,17.67810302,17.36803462,21.14930349,15.9743539,13.56851839,10.19917237,12.41954435,14.61855069,17.10121959,40.03482525,23.5369562,28.81036995,29.11331693,27.67601794,27.57563872,27.86743533,47.20140278,25.16500411,33.59624544
